regime,model,controls_included,feature,is_control,importance_mean,importance_std,cross_validated_r2,out_of_fold_spearman,trustworthy,molecules
out_of_scaffold,Linear,True,MolWt,False,0.051834,0.030959,0.333283,0.594439,True,413
out_of_scaffold,Linear,True,MolLogP,False,0.615034,0.244858,0.333283,0.594439,True,413
out_of_scaffold,Linear,True,TPSA,False,0.014246,0.055052,0.333283,0.594439,True,413
out_of_scaffold,Linear,True,NumRotatableBonds,False,0.011152,0.016232,0.333283,0.594439,True,413
out_of_scaffold,Linear,True,AromaticAtomFraction,False,0.102413,0.146979,0.333283,0.594439,True,413
out_of_scaffold,Linear,True,HeavyAtomCount,False,0.001505,0.009340,0.333283,0.594439,True,413
out_of_scaffold,Linear,True,NumRings,False,0.005477,0.006037,0.333283,0.594439,True,413
out_of_scaffold,Linear,True,NumAromaticRings,False,0.058585,0.044002,0.333283,0.594439,True,413
out_of_scaffold,Linear,True,NumAliphaticRings,False,0.002365,0.005765,0.333283,0.594439,True,413
out_of_scaffold,Linear,True,NumHeteroatoms,False,0.062286,0.056324,0.333283,0.594439,True,413
out_of_scaffold,Linear,True,FractionCSP3,False,0.088621,0.103052,0.333283,0.594439,True,413
out_of_scaffold,Linear,True,NumHDonors,False,0.004301,0.008231,0.333283,0.594439,True,413
out_of_scaffold,Linear,True,NumHAcceptors,False,0.002597,0.019943,0.333283,0.594439,True,413
out_of_scaffold,Linear,True,baseline_absolute_error,True,0.356265,0.108694,0.333283,0.594439,True,413
out_of_scaffold,Linear,True,nearest_train_similarity,True,0.027003,0.012021,0.333283,0.594439,True,413
out_of_scaffold,MLP,True,MolWt,False,0.104817,0.102712,0.194581,0.391017,True,413
out_of_scaffold,MLP,True,MolLogP,False,0.290209,0.036657,0.194581,0.391017,True,413
out_of_scaffold,MLP,True,TPSA,False,0.160172,0.116547,0.194581,0.391017,True,413
out_of_scaffold,MLP,True,NumRotatableBonds,False,-0.001171,0.013022,0.194581,0.391017,True,413
out_of_scaffold,MLP,True,AromaticAtomFraction,False,0.106329,0.055206,0.194581,0.391017,True,413
out_of_scaffold,MLP,True,HeavyAtomCount,False,0.012969,0.017515,0.194581,0.391017,True,413
out_of_scaffold,MLP,True,NumRings,False,0.002198,0.007649,0.194581,0.391017,True,413
out_of_scaffold,MLP,True,NumAromaticRings,False,0.015919,0.018448,0.194581,0.391017,True,413
out_of_scaffold,MLP,True,NumAliphaticRings,False,0.001567,0.018205,0.194581,0.391017,True,413
out_of_scaffold,MLP,True,NumHeteroatoms,False,0.006700,0.012734,0.194581,0.391017,True,413
out_of_scaffold,MLP,True,FractionCSP3,False,0.059132,0.049514,0.194581,0.391017,True,413
out_of_scaffold,MLP,True,NumHDonors,False,0.048097,0.027436,0.194581,0.391017,True,413
out_of_scaffold,MLP,True,NumHAcceptors,False,0.026017,0.023498,0.194581,0.391017,True,413
out_of_scaffold,MLP,True,baseline_absolute_error,True,0.405339,0.092582,0.194581,0.391017,True,413
out_of_scaffold,MLP,True,nearest_train_similarity,True,0.026075,0.022193,0.194581,0.391017,True,413
out_of_scaffold,GCN,True,MolWt,False,0.063282,0.050471,0.277164,0.408125,True,413
out_of_scaffold,GCN,True,MolLogP,False,0.011792,0.010439,0.277164,0.408125,True,413
out_of_scaffold,GCN,True,TPSA,False,0.041906,0.036416,0.277164,0.408125,True,413
out_of_scaffold,GCN,True,NumRotatableBonds,False,0.021816,0.024491,0.277164,0.408125,True,413
out_of_scaffold,GCN,True,AromaticAtomFraction,False,0.059123,0.039930,0.277164,0.408125,True,413
out_of_scaffold,GCN,True,HeavyAtomCount,False,0.000654,0.014391,0.277164,0.408125,True,413
out_of_scaffold,GCN,True,NumRings,False,-0.001721,0.014377,0.277164,0.408125,True,413
out_of_scaffold,GCN,True,NumAromaticRings,False,0.015277,0.014551,0.277164,0.408125,True,413
out_of_scaffold,GCN,True,NumAliphaticRings,False,0.021365,0.038865,0.277164,0.408125,True,413
out_of_scaffold,GCN,True,NumHeteroatoms,False,0.013847,0.025801,0.277164,0.408125,True,413
out_of_scaffold,GCN,True,FractionCSP3,False,0.027209,0.038549,0.277164,0.408125,True,413
out_of_scaffold,GCN,True,NumHDonors,False,0.000929,0.002312,0.277164,0.408125,True,413
out_of_scaffold,GCN,True,NumHAcceptors,False,0.006819,0.021371,0.277164,0.408125,True,413
out_of_scaffold,GCN,True,baseline_absolute_error,True,0.766158,0.186485,0.277164,0.408125,True,413
out_of_scaffold,GCN,True,nearest_train_similarity,True,0.103347,0.045020,0.277164,0.408125,True,413
out_of_scaffold,GIN,True,MolWt,False,0.056670,0.018231,0.228401,0.345964,True,413
out_of_scaffold,GIN,True,MolLogP,False,0.045077,0.050645,0.228401,0.345964,True,413
out_of_scaffold,GIN,True,TPSA,False,0.099836,0.053775,0.228401,0.345964,True,413
out_of_scaffold,GIN,True,NumRotatableBonds,False,0.008780,0.012225,0.228401,0.345964,True,413
out_of_scaffold,GIN,True,AromaticAtomFraction,False,0.063761,0.043048,0.228401,0.345964,True,413
out_of_scaffold,GIN,True,HeavyAtomCount,False,0.022245,0.015353,0.228401,0.345964,True,413
out_of_scaffold,GIN,True,NumRings,False,0.000454,0.009546,0.228401,0.345964,True,413
out_of_scaffold,GIN,True,NumAromaticRings,False,0.003622,0.011139,0.228401,0.345964,True,413
out_of_scaffold,GIN,True,NumAliphaticRings,False,0.042621,0.074170,0.228401,0.345964,True,413
out_of_scaffold,GIN,True,NumHeteroatoms,False,0.004871,0.006045,0.228401,0.345964,True,413
out_of_scaffold,GIN,True,FractionCSP3,False,0.074310,0.044247,0.228401,0.345964,True,413
out_of_scaffold,GIN,True,NumHDonors,False,0.014456,0.028171,0.228401,0.345964,True,413
out_of_scaffold,GIN,True,NumHAcceptors,False,0.003339,0.012372,0.228401,0.345964,True,413
out_of_scaffold,GIN,True,baseline_absolute_error,True,0.586797,0.136450,0.228401,0.345964,True,413
out_of_scaffold,GIN,True,nearest_train_similarity,True,0.174059,0.071338,0.228401,0.345964,True,413
in_domain,Linear,False,MolWt,False,0.107485,0.049679,0.346302,0.484475,True,470
in_domain,Linear,False,MolLogP,False,0.303668,0.111940,0.346302,0.484475,True,470
in_domain,Linear,False,TPSA,False,0.182182,0.067658,0.346302,0.484475,True,470
in_domain,Linear,False,NumRotatableBonds,False,0.051507,0.045789,0.346302,0.484475,True,470
in_domain,Linear,False,AromaticAtomFraction,False,0.225841,0.258954,0.346302,0.484475,True,470
in_domain,Linear,False,HeavyAtomCount,False,0.049869,0.040622,0.346302,0.484475,True,470
in_domain,Linear,False,NumRings,False,0.018759,0.015428,0.346302,0.484475,True,470
in_domain,Linear,False,NumAromaticRings,False,0.003118,0.010001,0.346302,0.484475,True,470
in_domain,Linear,False,NumAliphaticRings,False,0.012522,0.007187,0.346302,0.484475,True,470
in_domain,Linear,False,NumHeteroatoms,False,0.300561,0.083479,0.346302,0.484475,True,470
in_domain,Linear,False,FractionCSP3,False,0.245435,0.242263,0.346302,0.484475,True,470
in_domain,Linear,False,NumHDonors,False,0.006020,0.011414,0.346302,0.484475,True,470
in_domain,Linear,False,NumHAcceptors,False,0.000931,0.014371,0.346302,0.484475,True,470
in_domain,MLP,False,MolWt,False,0.045156,0.072073,0.080176,0.326828,True,470
in_domain,MLP,False,MolLogP,False,0.047387,0.038482,0.080176,0.326828,True,470
in_domain,MLP,False,TPSA,False,0.145387,0.061664,0.080176,0.326828,True,470
in_domain,MLP,False,NumRotatableBonds,False,0.051849,0.037245,0.080176,0.326828,True,470
in_domain,MLP,False,AromaticAtomFraction,False,0.282387,0.343876,0.080176,0.326828,True,470
in_domain,MLP,False,HeavyAtomCount,False,0.018414,0.015846,0.080176,0.326828,True,470
in_domain,MLP,False,NumRings,False,0.002219,0.007989,0.080176,0.326828,True,470
in_domain,MLP,False,NumAromaticRings,False,-0.012804,0.025740,0.080176,0.326828,True,470
in_domain,MLP,False,NumAliphaticRings,False,0.040566,0.014490,0.080176,0.326828,True,470
in_domain,MLP,False,NumHeteroatoms,False,0.049397,0.037015,0.080176,0.326828,True,470
in_domain,MLP,False,FractionCSP3,False,0.317141,0.327868,0.080176,0.326828,True,470
in_domain,MLP,False,NumHDonors,False,0.010853,0.008742,0.080176,0.326828,True,470
in_domain,MLP,False,NumHAcceptors,False,0.037891,0.066134,0.080176,0.326828,True,470
in_domain,GCN,False,MolWt,False,0.134258,0.103738,0.019290,0.267509,True,470
in_domain,GCN,False,MolLogP,False,-0.000486,0.040123,0.019290,0.267509,True,470
