regime,model,scaffold,molecules,dataset_molecules,mean_absolute_error,baseline_mean_absolute_error,normalized_mean_absolute_error,mean_residual
out_of_scaffold,GIN,C1CCCC1,4,4.000000,0.752200,1.493400,0.503683,-0.034225
out_of_scaffold,GIN,O=C1CN=C(c2ccccc2)c2ccccc2N1,6,6.000000,0.444917,0.897900,0.495508,-0.444917
out_of_scaffold,GIN,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,9,9.000000,0.690344,1.416844,0.487241,0.524989
out_of_scaffold,GIN,C1CCCCC1,10,10.000000,0.655830,1.395560,0.469940,0.302550
out_of_scaffold,GIN,c1cncnc1,5,5.000000,0.707588,1.526520,0.463530,-0.450324
out_of_scaffold,GIN,c1ccoc1,3,3.000000,0.777700,1.798933,0.432312,0.777700
out_of_scaffold,GIN,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,4,4.000000,0.751750,1.767250,0.425378,-0.049150
out_of_scaffold,GIN,c1ccc(CCc2ccccc2)cc1,3,3.000000,0.551560,1.399133,0.394215,0.358053
out_of_scaffold,GIN,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,17,17.000000,0.550529,1.527308,0.360457,-0.026867
out_of_scaffold,GIN,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,7,7.000000,1.380679,4.287564,0.322019,1.246207
out_of_scaffold,GIN,c1ccc(-c2ccccc2)cc1,39,39.000000,1.076400,4.152733,0.259203,1.062744
out_of_scaffold,GIN,C1CCOC1,3,3.000000,0.614133,3.420333,0.179554,-0.614133
out_of_scaffold,GIN,c1ccc(Oc2ccccc2)cc1,6,6.000000,0.267817,1.769400,0.151360,0.170183
out_of_scaffold,GIN,C1=CC2C3C=CC(C3)C2C1,3,3.000000,0.409020,2.883067,0.141870,-0.406713
out_of_scaffold,GIN,c1ccc2cc3ccccc3cc2c1,6,6.000000,0.400017,3.216300,0.124372,-0.356617
out_of_scaffold,GIN,c1ccc2c(c1)ccc1ccccc12,3,3.000000,0.203906,2.755633,0.073996,-0.013739
