regime,model,scaffold,molecules,dataset_molecules,mean_absolute_error,baseline_mean_absolute_error,normalized_mean_absolute_error,mean_residual
out_of_scaffold,MLP,c1ccc(CCc2ccccc2)cc1,3,3.000000,0.641293,1.399133,0.458350,-0.615680
out_of_scaffold,MLP,c1cncnc1,5,5.000000,0.656568,1.526520,0.430108,-0.153816
out_of_scaffold,MLP,c1ccc2c(c1)CCO2,3,3.000000,0.382867,0.914633,0.418601,0.130000
out_of_scaffold,MLP,O=C1CN=C(c2ccccc2)c2ccccc2N1,6,6.000000,0.351100,0.897900,0.391023,-0.268767
out_of_scaffold,MLP,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,9,9.000000,0.496444,1.416844,0.350387,0.266289
out_of_scaffold,MLP,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,17,17.000000,0.516455,1.527308,0.338147,0.115824
out_of_scaffold,MLP,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,4,4.000000,0.514525,1.767250,0.291144,0.310775
out_of_scaffold,MLP,c1ccc(Oc2ccccc2)cc1,6,6.000000,0.490700,1.769400,0.277326,0.072833
out_of_scaffold,MLP,c1ccc2cc3ccccc3cc2c1,6,6.000000,0.877800,3.216300,0.272922,0.877800
out_of_scaffold,MLP,c1ccc2ccccc2c1,22,22.000000,0.304675,1.175064,0.259284,-0.003716
out_of_scaffold,MLP,C1CCCCCCC1,3,3.000000,0.301739,1.192889,0.252948,-0.202506
out_of_scaffold,MLP,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,7,7.000000,0.918679,4.287564,0.214266,0.684621
out_of_scaffold,MLP,O=c1cccnn1-c1ccccc1,3,3.000000,0.124700,0.621633,0.200601,0.086700
out_of_scaffold,MLP,c1ccc(Cc2ccccc2)cc1,12,12.000000,0.470125,2.496083,0.188345,-0.238008
out_of_scaffold,MLP,C1CCOC1,3,3.000000,0.562000,3.420333,0.164311,-0.562000
out_of_scaffold,MLP,C1=CCCCC1,3,3.000000,0.104900,0.644333,0.162804,0.104900
out_of_scaffold,MLP,c1ccc(-c2ccccc2)cc1,39,39.000000,0.634287,4.152733,0.152740,-0.574267
