regime,model,property,molecules,spearman,ci_low,ci_high,excludes_zero,baseline_spearman,partial_spearman,trained_on
in_domain,GIN,MolLogP,470,0.105732,0.015410,0.194227,True,0.046111,0.141573,True
in_domain,GIN,TPSA,470,0.174980,0.090637,0.264046,True,-0.117104,0.183155,True
in_domain,GIN,NumRotatableBonds,470,0.095836,0.001722,0.185927,True,-0.072528,0.137619,True
in_domain,GIN,AromaticAtomFraction,470,0.157932,0.060223,0.248690,True,-0.005019,0.155637,True
in_domain,GIN,HeavyAtomCount,470,0.275439,0.189221,0.360995,True,-0.027771,0.299878,False
in_domain,GIN,NumRings,470,0.241289,0.153337,0.325415,True,0.003005,0.246858,False
in_domain,GIN,NumAromaticRings,470,0.222074,0.126981,0.310260,True,0.020455,0.217630,False
in_domain,GIN,NumAliphaticRings,470,0.059988,-0.031761,0.149840,False,-0.031480,0.068092,False
in_domain,GIN,NumHeteroatoms,470,0.238134,0.151585,0.323966,True,-0.068198,0.235165,False
in_domain,GIN,FractionCSP3,470,-0.174250,-0.253653,-0.081565,True,0.017524,-0.169955,False
in_domain,GIN,NumHDonors,470,0.054670,-0.030676,0.142972,False,-0.095836,0.067333,False
in_domain,GIN,NumHAcceptors,470,0.201998,0.116235,0.289653,True,-0.096590,0.203359,False
out_of_scaffold,Dummy (mean),MolWt,413,0.291389,0.207040,0.375366,True,0.291389,0.006683,True
out_of_scaffold,Dummy (mean),MolLogP,413,0.601696,0.513254,0.678735,True,0.601696,0.001691,True
out_of_scaffold,Dummy (mean),TPSA,413,-0.378165,-0.461464,-0.293753,True,-0.378165,-0.025820,True
out_of_scaffold,Dummy (mean),NumRotatableBonds,413,-0.035081,-0.132963,0.056787,False,-0.035081,0.006383,True
out_of_scaffold,Dummy (mean),AromaticAtomFraction,413,0.139215,0.050664,0.228223,True,0.139215,-0.056831,True
out_of_scaffold,Dummy (mean),HeavyAtomCount,413,0.188022,0.107015,0.266481,True,0.188022,-0.017247,False
